,Country,Region,Happiness,upperwhisker,lowerwhisker,Log_GDP_Per_Capita,Social_Support,Life_Expectancy,Freedom,Generosity,Corruption,Dystopia_residual,Year
103,Cameroon,Sub-Saharan Africa,4.874,4.996,4.753,0.943,0.856,0.288,0.521,0.126,0.06,2.08,2024
104,Ukraine,Commonwealth of Independent States,4.873,4.988,4.758,1.35,1.315,0.513,0.631,0.285,0.025,0.753,2024
105,Namibia,Sub-Saharan Africa,4.832,4.958,4.705,1.266,1.212,0.307,0.47,0.069,0.061,1.446,2024
106,Morocco,Middle East and North Africa,4.795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082,1.861,2024
107,Pakistan,South Asia,4.657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074,1.907,2024
108,Niger,Sub-Saharan Africa,4.556,4.712,4.401,0.573,0.677,0.293,0.615,0.145,0.147,2.107,2024
109,Burkina Faso,Sub-Saharan Africa,4.548,4.686,4.41,0.756,0.685,0.274,0.483,0.173,0.179,1.999,2024
110,Mauritania,Sub-Saharan Africa,4.505,4.673,4.337,1.078,0.705,0.4,0.343,0.133,0.198,1.649,2024
111,Gambia,Sub-Saharan Africa,4.485,4.625,4.344,0.75,0.684,0.33,0.459,0.324,0.048,1.89,2024
112,Chad,Sub-Saharan Africa,4.471,4.63,4.313,0.603,0.805,0.199,0.411,0.218,0.113,2.122,2024
113,Kenya,Sub-Saharan Africa,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,1.316,2024
114,Tunisia,Middle East and North Africa,4.422,4.505,4.338,1.306,0.955,0.579,0.254,0.024,0.018,1.285,2024
115,Benin,Sub-Saharan Africa,4.377,4.51,4.245,0.914,0.128,0.284,0.567,0.112,0.252,2.121,2024
116,Uganda,Sub-Saharan Africa,4.372,4.501,4.243,0.772,1.151,0.373,0.587,0.178,0.054,1.256,2024
117,Myanmar,Southeast Asia,4.354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174,0.928,2024
118,Cambodia,Southeast Asia,4.341,4.446,4.236,1.011,1.019,0.442,0.863,0.17,0.071,0.765,2024
119,Ghana,Sub-Saharan Africa,4.289,4.396,4.182,1.077,0.747,0.36,0.623,0.183,0.028,1.273,2024
120,Liberia,Sub-Saharan Africa,4.269,4.474,4.063,0.619,0.673,0.301,0.546,0.178,0.075,1.878,2024
121,Mali,Sub-Saharan Africa,4.232,4.347,4.117,0.747,0.688,0.267,0.586,0.12,0.09,1.734,2024
122,Madagascar,Sub-Saharan Africa,4.228,4.359,4.097,0.628,0.823,0.333,0.25,0.172,0.123,1.897,2024
123,Togo,Sub-Saharan Africa,4.214,4.33,4.098,0.758,0.586,0.32,0.453,0.127,0.156,1.814,2024
124,Jordan,Middle East and North Africa,4.186,4.306,4.066,1.262,0.983,0.594,0.593,0.059,0.189,0.504,2024
125,India,South Asia,4.054,4.123,3.985,1.166,0.653,0.417,0.767,0.174,0.122,0.756,2024
126,Egypt,Middle East and North Africa,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,0.349,2024
127,Sri Lanka,South Asia,3.898,4.018,3.778,1.361,1.179,0.586,0.583,0.144,0.031,0.014,2024
128,Bangladesh,South Asia,3.886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167,0.919,2024
129,Ethiopia,Sub-Saharan Africa,3.861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101,0.923,2024
130,Tanzania,Sub-Saharan Africa,3.781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,0.717,2024
131,Comoros,Sub-Saharan Africa,3.566,3.754,3.378,0.896,0.328,0.37,0.172,0.128,0.16,1.512,2024
132,Yemen,Middle East and North Africa,3.561,3.714,3.408,0.671,1.281,0.293,0.362,0.08,0.113,0.76,2024
133,Zambia,Sub-Saharan Africa,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,0.526,2024
134,Eswatini,Sub-Saharan Africa,3.502,3.673,3.331,1.255,0.925,0.176,0.284,0.059,0.116,0.686,2024
135,Malawi,Sub-Saharan Africa,3.421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136,1.203,2024
136,Botswana,Sub-Saharan Africa,3.383,3.558,3.209,1.445,0.969,0.241,0.567,0.014,0.082,0.066,2024
137,Zimbabwe,Sub-Saharan Africa,3.341,3.457,3.226,0.748,0.85,0.232,0.487,0.096,0.131,0.797,2024
138,Congo (Kinshasa),Sub-Saharan Africa,3.295,3.462,3.128,0.534,0.665,0.262,0.473,0.189,0.072,1.102,2024
139,Sierra Leone,Sub-Saharan Africa,3.245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,1.068,2024
140,Lesotho,Sub-Saharan Africa,3.186,3.469,2.904,0.771,0.851,0.0,0.523,0.082,0.085,0.875,2024
141,Lebanon,Middle East and North Africa,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,-0.073,2024
142,Afghanistan,South Asia,1.721,1.775,1.667,0.628,0.0,0.242,0.0,0.091,0.088,0.672,2024
